rel	pages	chars	avg_per_page	sample
2014\applied2014(team).pdf	2	2952	1476.0	S.-T. Yau College Student Mathematics Contests 2014 Applied Math. and Computational Math. 
2014\geometry2014(individual).pdf	1	1699	1699.0	S.-T. Yau College Student Mathematics Contests 2014 Geometry and Topology Individual Pleas
2014\geometry2014(team).pdf	1	1180	1180.0	S.-T. Yau College Student Mathematics Contests 2014 Geometry and Topology Team Please solv
2014\probability2014(individual).pdf	2	2247	1123.5	S.-T. Yau College Student Mathematics Contests 2014 Probability and Statistics Problems In
2014\probability2014(team).pdf	2	2076	1038.0	S.-T. Yau College Student Mathematics Contests 2014 Probability and Statistics Problems Te
2015\algebra2015-individual.pdf	3	4668	1556.0	S.-T. Yau College Student Mathematics Contests 2015 Algebra and Number Theory Individual (
2015\analysis2015-individual.pdf	1	1469	1469.0	S.-T. Yau College Student Mathematics Contests 2015 Analysis and Diﬀerential Equations Ind
2015\applied2015-individual.pdf	2	3218	1609.0	S.-T. Yau College Student Mathematics Contests 2015 Applied Math. and Computational Math. 
2015\geometry2015-individual.pdf	1	1143	1143.0	S.-T. Yau College Student Mathematics Contests 2015 Geometry and Topology Individual Pleas
2015\probability2015-individual.pdf	1	1626	1626.0	S.-T. Yau College Student Mathematics Contests 2015 Probability and Statistics Individual 
2015\team-algebra2015.pdf	2	2824	1412.0	S.-T. Yau College Student Mathematics Contests 2015 Algebra and Number Theory Team This ex
2015\team-analysis2015.pdf	1	1711	1711.0	S.-T. Yau College Student Mathematics Contests 2015 Analysis and Diﬀerential Equations Tea
2015\team-applied2015.pdf	2	3441	1720.5	S.-T. Yau College Student Mathematics Contests 2015 Applied Math. and Computational Math. 
2015\team-geometry2015.pdf	1	1681	1681.0	S.-T. Yau College Student Mathematics Contests 2015 Geometry and Topology Team Please solv
2015\team-probability2015.pdf	2	1914	957.0	S.-T. Yau College Student Mathematics Contests 2015 Probability and Statistics Team (5 pro
2016\2016-team.pdf	9	12269	1363.2	S.-T. Yau College Student Mathematics Contests 2016 Analysis and Diﬀerential Equations Tea
2016\algebra2016-individual.pdf	2	3549	1774.5	S.-T. Yau College Student Mathematics Contests 2016 Algebra and Number Theory Individual T
2016\analysis2016-individual.pdf	1	1494	1494.0	S.-T. Yau College Student Mathematics Contests 2016 Analysis and Diﬀerential Equations Ind
2016\applied2016-individual.pdf	3	4341	1447.0	S.-T. Yau College Student Mathematics Contests 2016 Applied Math. and Computational Math. 
2016\geometry2016-individual.pdf	1	1149	1149.0	S.-T. Yau College Student Mathematics Contests 2016 Geometry and Topology Individual Pleas
2016\probability2016-individual.pdf	1	1412	1412.0	S.-T. Yau College Student Mathematics Contests 2016 Probability and Statistics Individual 
2017\2017-team.pdf	9	11680	1297.8	S.-T. Yau College Student Mathematics Contests 2017 Analysis and Diﬀerential Equations Tea
2017\algebra2017-individual.pdf	2	2567	1283.5	S.-T. Yau College Student Mathematics Contests 2017 Algebra and Number Theory Individual T
2017\analysis2017-individual.pdf	1	1866	1866.0	S.-T. Yau College Student Mathematics Contests 2017 Analysis and Diﬀerential Equations Ind
2017\applied2017-individual.pdf	3	3910	1303.3	S.-T. Yau College Student Mathematics Contests 2017 Applied Math. and Computational Math. 
2017\geometry2017-individual.pdf	1	1195	1195.0	S.-T. Yau College Student Mathematics Contests 2017 Geometry and Topology Individual Pleas
2017\probability2017-individual.pdf	2	2620	1310.0	S.-T. Yau College Student Mathematics Contests 2017 Probability and Statistics Individual 
2018\2018-team.pdf	9	13699	1522.1	S.-T. Yau College Student Mathematics Contests 2018 Analysis and Diﬀerential Equations Tea
2018\algebra2018-individual.pdf	2	2933	1466.5	S.-T. Yau College Student Mathematics Contests 2018 Algebra and Number Theory Individual T
2018\analysis2018-individual.pdf	2	1746	873.0	S.-T. Yau College Student Mathematics Contests 2018 Analysis and Diﬀerential Equations Ind
2018\applied2018-individual.pdf	3	4980	1660.0	S.-T. Yau College Student Mathematics Contests 2018 Applied Math. and Computational Math. 
2018\geometry2018-individual.pdf	1	1521	1521.0	S.-T. Yau College Student Mathematics Contests 2018 Geometry and Topology Individual Pleas
2018\probability2018-individual.pdf	1	2400	2400.0	S.-T. Yau College Student Mathematics Contests 2018 Probability and Statistics Individual 
2019\Algebra2019-individual.pdf	1	1340	1340.0	S.-T. Yau College Student Mathematics Contests 2019 Algebra and Number Theory Individual (
2019\Algebra2019-team.pdf	1	1642	1642.0	S.-T. Yau College Student Mathematics Contests 2019 Algebra and Number Theory Team (5 prob
2019\Analysis2019-individual.pdf	1	1255	1255.0	S.-T. Yau College Student Mathematics Contests 2019 Analysis and Diﬀerential Equations Ind
2019\Analysis2019-team.pdf	1	1322	1322.0	S.-T. Yau College Student Mathematics Contests 2019 Analysis and Diﬀerential Equations Tea
2019\AppliedMath2019-individual.pdf	2	2654	1327.0	S.-T. Yau College Student Mathematics Contests 2019 Applied and Computational Math Individ
2019\AppliedMath2019-team.pdf	1	2061	2061.0	S.-T. Yau College Student Mathematics Contests 2019 Applied and Computational Math Team (5
2019\Geometry2019-individual.pdf	2	2109	1054.5	S.-T. Yau College Student Mathematics Contests 2019 Geometry and Topology Individual (5 pr
2019\Geometry2019-team.pdf	1	1793	1793.0	S.-T. Yau College Student Mathematics Contests 2019 Geometry and Topology Team (5 problems
2019\ProbaStat2019-individual.pdf	2	4085	2042.5	S.-T. Yau College Student Mathematics Contests 2019 Probability and Statistics Individual 
2019\ProbaStat2019-team.pdf	1	1108	1108.0	S.-T. Yau College Student Mathematics Contests 2019 Probability and Statistics Team (4 pro
2020\Algebra&NumberTheory\algebra_and_numbertheory_20.pdf	2	3266	1633.0	S.-T. Yau College Student Mathematics Contests 2020 Algebra and Number Theory Solve every 
2020\Algebra&NumberTheory\algebra_and_numbertheory_soln_20.pdf	5	11851	2370.2	S.-T. Yau College Student Mathematics Contests 2020 Algebra and Number Theory Solve every 
2020\Analysis&DifferentialEquations\analysis_and_differential_20.pdf	2	2165	1082.5	S.-T. Yau College Student Mathematics Contests 2020 Analysis and Diﬀerential Equations Sol
2020\Analysis&DifferentialEquations\analysis_and_differential_soln_20.pdf	5	6763	1352.6	S.-T. Yau College Student Mathematics Contests 2020 Analysis and Diﬀerential Equations Sol
2020\Applied Math and Computational Math\computational_and_applied_20.pdf	2	2001	1000.5	S.-T. Yau College Student Mathematics Contests 2020 Computational and Applied Mathematics 
2020\Applied Math and Computational Math\computational_and_applied_soln_20.pdf	6	8238	1373.0	S.-T. Yau College Student Mathematics Contests 2020 Computational and Applied Mathematics 
2020\Geometry&Topology\geometry_and_topology_20.pdf	2	2530	1265.0	S.-T. Yau College Student Mathematics Contests 2020 Geometry and Topology Solve every prob
2020\Geometry&Topology\geometry_and_topology_soln_20.pdf	5	11319	2263.8	S.-T. Yau College Student Mathematics Contests 2020 Geometry and Topology Solve every prob
2020\Prob&Stat\probability_and_statistics_20.pdf	2	2813	1406.5	S.-T. Yau College Student Mathematics Contests 2020 Probability and Statistics Solve every
2020\Prob&Stat\probability_and_statistics_soln_20.pdf	5	10177	2035.4	S.-T. Yau College Student Mathematics Contests 2020 Probability and Statistics Solve every
2021\ExamPaper_21S\algebra_and_numbertheory_21s.pdf	1	1789	1789.0	S.-T. Yau College Student Mathematics Contests 2021 Algebra and Number Theory Solve every 
2021\ExamPaper_21S\analysis_and_differential_21s.pdf	1	1378	1378.0	S.-T. Yau College Student Mathematics Contests 2021 Analysis and Diﬀerential Equations Sol
2021\ExamPaper_21S\computational_and_applied_21s.pdf	2	2996	1498.0	S.-T. Yau College Student Mathematics Contests 2021 Computational and Applied Mathematics 
2021\ExamPaper_21S\geometry_and_topology_21s.pdf	1	1127	1127.0	S.-T. Yau College Student Mathematics Contests 2021 Geometry and Topology Solve every prob
2021\ExamPaper_21S\probability_and_statistics_21s.pdf	2	3425	1712.5	S.-T. Yau College Student Mathematics Contests 2021 Probability and Statistics Solve every
2021\Solution_21S\algebra_and_numbertheory_21s_soln.pdf	4	11287	2821.8	S.-T. Yau College Student Mathematics Contests 2021 Algebra and Number Theory Solve every 
2021\Solution_21S\analysis_and_differential_21s_soln.pdf	3	4338	1446.0	S.-T. Yau College Student Mathematics Contests 2021 Analysis and Diﬀerential Equations Sol
2021\Solution_21S\computational_and_applied_21s_soln.pdf	8	11726	1465.8	S.-T. Yau College Student Mathematics Contests 2021 Computational and Applied Mathematics 
2021\Solution_21S\geometry_and_topology_21s_soln.pdf	3	6782	2260.7	S.-T. Yau College Student Mathematics Contests 2021 Geometry and Topology Solve every prob
2021\Solution_21S\probability_and_statistics_21s_soln.pdf	5	10661	2132.2	S.-T. Yau College Student Mathematics Contests 2021 Probability and Statistics Solve every
2022\ExamPaper_2022\Mathematical_Physics_22s.pdf	3	3712	1237.3	S.-T. Yau College Student Mathematics Contests 2022 Mathematical Physics 说明：Solve every pr
2022\ExamPaper_2022\algebra_and_numbertheory_22s.pdf	1	2284	2284.0	S.-T. Yau College Student Mathematics Contests 2022 Algebra and Number Theory Solve every 
2022\ExamPaper_2022\analysis_and_differential_22s.pdf	1	1461	1461.0	S.-T. Yau College Student Mathematics Contests 2022 Analysis and Differential Equations So
2022\ExamPaper_2022\computational_and_applied_22s.pdf	3	3410	1136.7	S.-T. Yau College Student Mathematics Contests 2022 Computational and Applied Mathematics 
2022\ExamPaper_2022\geometry_and_topology_22s.pdf	2	2544	1272.0	S.-T. Yau College Student Mathematics Contests 2022 Geometry and Topology Solve every prob
2022\ExamPaper_2022\probability_and_statistics_22s.pdf	2	2715	1357.5	S.-T. Yau College Student Mathematics Contests 2022 Probability and Statistics Solve every
2022\Solution_2022\Mathematical_Physics_solution.pdf	8	10630	1328.8	S.-T. Yau College Student Mathematics Contests 2022 Mathematical Physics 说明：Solve every pr
2022\Solution_2022\algebra_and_numbertheory_22s_soln.pdf	4	8823	2205.8	S.-T. Yau College Student Mathematics Contests 2022 Algebra and Number Theory Solve every 
2022\Solution_2022\analysis_and_differential_22s_soln.pdf	3	4152	1384.0	S.-T. Yau College Student Mathematics Contests 2022 Analysis and Differential Equations So
2022\Solution_2022\computational_and_applied_22s_soln.pdf	7	11297	1613.9	S.-T. Yau College Student Mathematics Contests 2022 Computational and Applied Mathematics 
2022\Solution_2022\geometry_and_topology_22s_soln.pdf	3	7729	2576.3	S.-T. Yau College Student Mathematics Contests 2022 Geometry and Topology Solve every prob
2022\Solution_2022\probability_and_statistics_22s_soln.pdf	4	9880	2470.0	S.-T. Yau College Student Mathematics Contests 2022 Probability and Statistics Solve every
2023\Algebra_Number_theory.pdf	2	4078	2039.0	S.-T. Yau College Student Mathematics Contests 2023 Algebra and Number Theory Solve every 
2023\Analysis and differential equation.pdf	2	2160	1080.0	S.-T. Yau College Student Mathematics Contests 2023 Analysis and Diﬀerential Equations Sol
2023\Computational_Applied.pdf	3	4088	1362.7	S.-T. Yau College Student Mathematics Contests 2023 Computational and Applied Mathematics 
2023\Geometry and Topology.pdf	2	2340	1170.0	S.-T. Yau College Student Mathematics Contests 2023 Geometry and Topology Solve every prob
2023\Mathematical Physics.pdf	4	4835	1208.8	S.-T. Yau College Student Mathematics Contests 2023 Mathematical Physics Solve every probl
2023\probability_statistics.pdf	2	3675	1837.5	S.-T. Yau College Student Mathematics Contests 2023 Probability and Statistics Solve every
2024\2024 Algebra.pdf	2	4389	2194.5	S.-T. Yau College Student Mathematics Contests 2024 Algebra and Number Theory Question 1. 
2024\2024 Analysis and diff (v2).pdf	2	2431	1215.5	1 S.-T. Yau College Student Mathematics Contests 2024 Analysis and Diﬀerential Equations P
2024\2024 Computational_Math.pdf	3	4248	1416.0	S.-T. Yau College Student Mathematics Contests 2024 Computational and Applied Mathematics 
2024\2024 GeometryTopology.pdf	1	2281	2281.0	S.-T. Yau College Student Mathematics Contests 2024 Geometry and Topology Problem 1. Let n
2024\2024 Math_physics.pdf	4	6636	1659.0	S.-T. Yau College Student Mathematics Contests 2024 Mathematical Physics 1. (Classical Mec
2024\2024 statistics.pdf	2	3949	1974.5	S.-T. Yau College Student Mathematics Contests 2024 Probability and Statistics 1. There ar
2025\Geometry and Topology.pdf	1	1968	1968.0	S.-T. Yau College Student Mathematics Contests 2025 Geometry and Topology (6 problems) Pro
2025\algebra.pdf	2	3569	1784.5	S.-T. Yau College Student Mathematics Contests 2025 Algebra and Number Theory (5 problems)
2025\analysis.pdf	2	2593	1296.5	S.-T. Yau College Student Mathematics Contests 2025 Analysis and Diﬀerential Equations (6 
2025\computational and applied math.pdf	3	3519	1173.0	S.-T. Yau College Student Mathematics Contests 2025 Computational and Applied Mathematics 
2025\physics.pdf	4	8043	2010.8	S.-T. Yau College Student Mathematics Contests 2025 Mathematical Physics (6 problems) Prob
2025\statistics.pdf	2	3057	1528.5	S.-T. Yau College Student Mathematics Contests 2025 Probability and Statistics (4 problems
2026\2026 Algebra and Number Theory.pdf	2	2583	1291.5	S.-T. Yau College Student Mathematics Contests 2026 Algebra and Number Theory (5 problems)
2026\2026 Computation.pdf	2	4368	2184.0	S.-T. Yau College Student Mathematics Contests 2026 Computational and Applied Mathematics 
2026\2026 Geo_Topology.pdf	2	3027	1513.5	S.-T. Yau College Student Mathematics Contests 2026 Geometry and Topology Problem 1. Let S
2026\2026 analysis.pdf	2	2689	1344.5	S.-T. Yau College Student Mathematics Contests 2026 Analysis and Diﬀerential Equations (5 
2026\2026 physics.pdf	3	6016	2005.3	S.-T. Yau College Student Mathematics Contests 2026 Mathematical Physics (6 problems) Prob
2026\2026 statistics.pdf	2	3060	1530.0	S.-T. Yau College Student Mathematics Contests 2026 Probability and Statistics (6 problems
